	ENSG	name	description
ENSG00000003989.16	ENSG00000003989	SLC7A2	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]
ENSG00000004059.10	ENSG00000004059	ARF5	ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]
ENSG00000004139.13	ENSG00000004139	SARM1	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]
ENSG00000004142.11	ENSG00000004142	POLDIP2	DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]
ENSG00000004399.12	ENSG00000004399	PLXND1	plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]
ENSG00000004455.16	ENSG00000004455	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]
ENSG00000004468.12	ENSG00000004468	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]
ENSG00000004478.7	ENSG00000004478	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]
ENSG00000004487.15	ENSG00000004487	KDM1A	lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]
ENSG00000004534.14	ENSG00000004534	RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]
ENSG00000004660.14	ENSG00000004660	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]
ENSG00000004700.15	ENSG00000004700	RECQL	RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]
ENSG00000004766.15	ENSG00000004766	VPS50	VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]
ENSG00000004777.18	ENSG00000004777	ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]
ENSG00000004779.9	ENSG00000004779	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]
ENSG00000004799.7	ENSG00000004799	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]
ENSG00000004838.13	ENSG00000004838	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]
ENSG00000004864.13	ENSG00000004864	SLC25A13	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]
ENSG00000004866.19	ENSG00000004866	ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]
ENSG00000004897.11	ENSG00000004897	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]
ENSG00000004961.14	ENSG00000004961	HCCS	holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]
ENSG00000004975.11	ENSG00000004975	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]
ENSG00000005007.12	ENSG00000005007	UPF1	UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]
ENSG00000005020.12	ENSG00000005020	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]
ENSG00000005022.5	ENSG00000005022	SLC25A5	solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]
ENSG00000005059.15	ENSG00000005059	MCUB	mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]
ENSG00000005075.15	ENSG00000005075	POLR2J	RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]
ENSG00000005100.12	ENSG00000005100	DHX33	DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]
ENSG00000005108.15	ENSG00000005108	THSD7A	thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]
ENSG00000005156.11	ENSG00000005156	LIG3	DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]
ENSG00000005175.9	ENSG00000005175	RPAP3	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]
ENSG00000005187.11	ENSG00000005187	ACSM3	acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]
ENSG00000005189.19	ENSG00000005189	REXO5	RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]
ENSG00000005194.14	ENSG00000005194	CIAPIN1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]
ENSG00000005206.16	ENSG00000005206	SPPL2B	signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]
ENSG00000005238.19	ENSG00000005238	FAM214B	family with sequence similarity 214 member B [Source:HGNC Symbol;Acc:HGNC:25666]
ENSG00000005243.9	ENSG00000005243	COPZ2	COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]
ENSG00000005249.12	ENSG00000005249	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]
ENSG00000005302.17	ENSG00000005302	MSL3	MSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7370]
ENSG00000005339.14	ENSG00000005339	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]
ENSG00000005379.15	ENSG00000005379	TSPOAP1	TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]
ENSG00000005436.13	ENSG00000005436	GCFC2	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]
ENSG00000005448.16	ENSG00000005448	WDR54	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]
ENSG00000005469.11	ENSG00000005469	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]
ENSG00000005471.15	ENSG00000005471	ABCB4	ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]
ENSG00000005483.20	ENSG00000005483	KMT2E	lysine methyltransferase 2E (inactive) [Source:HGNC Symbol;Acc:HGNC:18541]
ENSG00000005486.16	ENSG00000005486	RHBDD2	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]
ENSG00000005700.14	ENSG00000005700	IBTK	inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]
ENSG00000005801.16	ENSG00000005801	ZNF195	zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]
ENSG00000005810.17	ENSG00000005810	MYCBP2	MYC binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23386]
ENSG00000005812.10	ENSG00000005812	FBXL3	F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]
ENSG00000005844.17	ENSG00000005844	ITGAL	integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]
ENSG00000005882.11	ENSG00000005882	PDK2	pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]
ENSG00000005884.17	ENSG00000005884	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]
ENSG00000005889.15	ENSG00000005889	ZFX	zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869]
ENSG00000005893.15	ENSG00000005893	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]
ENSG00000006007.11	ENSG00000006007	GDE1	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]
ENSG00000006015.17	ENSG00000006015	REX1BD	required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]
ENSG00000006016.10	ENSG00000006016	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]
ENSG00000006025.11	ENSG00000006025	OSBPL7	oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]
ENSG00000006042.11	ENSG00000006042	TMEM98	transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]
ENSG00000006047.12	ENSG00000006047	YBX2	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]
ENSG00000006062.13	ENSG00000006062	MAP3K14	mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]
ENSG00000006118.14	ENSG00000006118	TMEM132A	transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]
ENSG00000006125.16	ENSG00000006125	AP2B1	adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]
ENSG00000006194.9	ENSG00000006194	ZNF263	zinc finger protein 263 [Source:HGNC Symbol;Acc:HGNC:13056]
ENSG00000006210.6	ENSG00000006210	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]
ENSG00000006282.20	ENSG00000006282	SPATA20	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]
ENSG00000006283.17	ENSG00000006283	CACNA1G	calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]
ENSG00000006327.13	ENSG00000006327	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]
ENSG00000006432.15	ENSG00000006432	MAP3K9	mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]
ENSG00000006451.7	ENSG00000006451	RALA	RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]
ENSG00000006453.13	ENSG00000006453	BAIAP2L1	BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]
ENSG00000006459.10	ENSG00000006459	KDM7A	lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]
ENSG00000006468.13	ENSG00000006468	ETV1	ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]
ENSG00000006530.15	ENSG00000006530	AGK	acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]
ENSG00000006534.15	ENSG00000006534	ALDH3B1	aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]
ENSG00000006555.10	ENSG00000006555	TTC22	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]
ENSG00000006576.16	ENSG00000006576	PHTF2	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]
ENSG00000006607.13	ENSG00000006607	FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]
ENSG00000006625.17	ENSG00000006625	GGCT	gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705]
ENSG00000006634.7	ENSG00000006634	DBF4	DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]
ENSG00000006638.11	ENSG00000006638	TBXA2R	thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]
ENSG00000006652.13	ENSG00000006652	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]
ENSG00000006695.10	ENSG00000006695	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]
ENSG00000006704.10	ENSG00000006704	GTF2IRD1	GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]
ENSG00000006712.14	ENSG00000006712	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]
ENSG00000006715.15	ENSG00000006715	VPS41	VPS41 subunit of HOPS complex [Source:HGNC Symbol;Acc:HGNC:12713]
ENSG00000006740.16	ENSG00000006740	ARHGAP44	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]
ENSG00000006744.18	ENSG00000006744	ELAC2	elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]
ENSG00000006747.14	ENSG00000006747	SCIN	scinderin [Source:HGNC Symbol;Acc:HGNC:21695]
ENSG00000006756.15	ENSG00000006756	ARSD	arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]
ENSG00000006757.11	ENSG00000006757	PNPLA4	patatin like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24887]
ENSG00000006831.9	ENSG00000006831	ADIPOR2	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]
ENSG00000006837.11	ENSG00000006837	CDKL3	cyclin dependent kinase like 3 [Source:HGNC Symbol;Acc:HGNC:15483]
ENSG00000007047.14	ENSG00000007047	MARK4	microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]
ENSG00000007062.11	ENSG00000007062	PROM1	prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]
ENSG00000007080.10	ENSG00000007080	CCDC124	coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]
ENSG00000007168.12	ENSG00000007168	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]
ENSG00000007202.14	ENSG00000007202	KIAA0100	KIAA0100 [Source:HGNC Symbol;Acc:HGNC:28960]
ENSG00000007237.18	ENSG00000007237	GAS7	growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]
ENSG00000007255.10	ENSG00000007255	TRAPPC6A	trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:HGNC:23069]
ENSG00000007264.14	ENSG00000007264	MATK	megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]
ENSG00000007314.11	ENSG00000007314	SCN4A	sodium voltage-gated channel alpha subunit 4 [Source:HGNC Symbol;Acc:HGNC:10591]
ENSG00000007341.18	ENSG00000007341	ST7L	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:HGNC:18441]
ENSG00000007372.20	ENSG00000007372	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]
ENSG00000007376.7	ENSG00000007376	RPUSD1	RNA pseudouridine synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]
ENSG00000007384.15	ENSG00000007384	RHBDF1	rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561]
ENSG00000007392.16	ENSG00000007392	LUC7L	LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]
ENSG00000007402.11	ENSG00000007402	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]
ENSG00000007516.13	ENSG00000007516	BAIAP3	BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]
ENSG00000007520.3	ENSG00000007520	TSR3	TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]
ENSG00000007541.16	ENSG00000007541	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]
ENSG00000007545.15	ENSG00000007545	CRAMP1	cramped chromatin regulator homolog 1 [Source:HGNC Symbol;Acc:HGNC:14122]
ENSG00000007866.18	ENSG00000007866	TEAD3	TEA domain transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11716]
ENSG00000007923.15	ENSG00000007923	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]
ENSG00000007933.12	ENSG00000007933	FMO3	flavin containing dimethylaniline monoxygenase 3 [Source:HGNC Symbol;Acc:HGNC:3771]
ENSG00000007944.14	ENSG00000007944	MYLIP	myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155]
ENSG00000007968.6	ENSG00000007968	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]
ENSG00000008018.8	ENSG00000008018	PSMB1	proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]
ENSG00000008056.12	ENSG00000008056	SYN1	synapsin I [Source:HGNC Symbol;Acc:HGNC:11494]
ENSG00000008083.13	ENSG00000008083	JARID2	jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196]
ENSG00000008086.11	ENSG00000008086	CDKL5	cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]
ENSG00000008128.22	ENSG00000008128	CDK11A	cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730]
ENSG00000008130.15	ENSG00000008130	NADK	NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]
ENSG00000008226.19	ENSG00000008226	DLEC1	DLEC1 cilia and flagella associated protein [Source:HGNC Symbol;Acc:HGNC:2899]
ENSG00000008256.15	ENSG00000008256	CYTH3	cytohesin 3 [Source:HGNC Symbol;Acc:HGNC:9504]
ENSG00000008277.14	ENSG00000008277	ADAM22	ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:HGNC:201]
ENSG00000008282.8	ENSG00000008282	SYPL1	synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507]
ENSG00000008283.15	ENSG00000008283	CYB561	cytochrome b561 [Source:HGNC Symbol;Acc:HGNC:2571]
ENSG00000008294.20	ENSG00000008294	SPAG9	sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]
ENSG00000008300.15	ENSG00000008300	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:HGNC:3230]
ENSG00000008311.14	ENSG00000008311	AASS	aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]
ENSG00000008323.15	ENSG00000008323	PLEKHG6	pleckstrin homology and RhoGEF domain containing G6 [Source:HGNC Symbol;Acc:HGNC:25562]
ENSG00000008324.10	ENSG00000008324	SS18L2	SS18 like 2 [Source:HGNC Symbol;Acc:HGNC:15593]
ENSG00000008382.15	ENSG00000008382	MPND	MPN domain containing [Source:HGNC Symbol;Acc:HGNC:25934]
ENSG00000008394.12	ENSG00000008394	MGST1	microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]
ENSG00000008405.11	ENSG00000008405	CRY1	cryptochrome circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:2384]
ENSG00000008441.16	ENSG00000008441	NFIX	nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788]
ENSG00000008513.14	ENSG00000008513	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]
ENSG00000008516.16	ENSG00000008516	MMP25	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]
ENSG00000008517.16	ENSG00000008517	IL32	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]
ENSG00000008710.18	ENSG00000008710	PKD1	polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]
ENSG00000008735.13	ENSG00000008735	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]
ENSG00000008838.18	ENSG00000008838	MED24	mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963]
ENSG00000008853.16	ENSG00000008853	RHOBTB2	Rho related BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18756]
ENSG00000008869.11	ENSG00000008869	HEATR5B	HEAT repeat containing 5B [Source:HGNC Symbol;Acc:HGNC:29273]
ENSG00000008952.16	ENSG00000008952	SEC62	SEC62 homolog, preprotein translocation factor [Source:HGNC Symbol;Acc:HGNC:11846]
ENSG00000008988.9	ENSG00000008988	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]
ENSG00000009307.15	ENSG00000009307	CSDE1	cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905]
ENSG00000009335.17	ENSG00000009335	UBE3C	ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]
ENSG00000009413.15	ENSG00000009413	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]
ENSG00000009724.16	ENSG00000009724	MASP2	mannan binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6902]
ENSG00000009780.15	ENSG00000009780	FAM76A	family with sequence similarity 76 member A [Source:HGNC Symbol;Acc:HGNC:28530]
ENSG00000009790.14	ENSG00000009790	TRAF3IP3	TRAF3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:30766]
ENSG00000009830.11	ENSG00000009830	POMT2	protein O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743]
ENSG00000009844.15	ENSG00000009844	VTA1	vesicle trafficking 1 [Source:HGNC Symbol;Acc:HGNC:20954]
ENSG00000009950.15	ENSG00000009950	MLXIPL	MLX interacting protein like [Source:HGNC Symbol;Acc:HGNC:12744]
ENSG00000009954.10	ENSG00000009954	BAZ1B	bromodomain adjacent to zinc finger domain 1B [Source:HGNC Symbol;Acc:HGNC:961]
ENSG00000010017.12	ENSG00000010017	RANBP9	RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727]
ENSG00000010030.13	ENSG00000010030	ETV7	ETS variant transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:18160]
ENSG00000010072.15	ENSG00000010072	SPRTN	SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]
ENSG00000010165.19	ENSG00000010165	EEF1AKNMT	eEF1A lysine and N-terminal methyltransferase [Source:HGNC Symbol;Acc:HGNC:24248]
ENSG00000010219.13	ENSG00000010219	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4 [Source:HGNC Symbol;Acc:HGNC:3095]
ENSG00000010244.17	ENSG00000010244	ZNF207	zinc finger protein 207 [Source:HGNC Symbol;Acc:HGNC:12998]
ENSG00000010256.10	ENSG00000010256	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]
ENSG00000010270.13	ENSG00000010270	STARD3NL	STARD3 N-terminal like [Source:HGNC Symbol;Acc:HGNC:19169]
ENSG00000010278.12	ENSG00000010278	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]
ENSG00000010292.12	ENSG00000010292	NCAPD2	non-SMC condensin I complex subunit D2 [Source:HGNC Symbol;Acc:HGNC:24305]
ENSG00000010295.19	ENSG00000010295	IFFO1	intermediate filament family orphan 1 [Source:HGNC Symbol;Acc:HGNC:24970]
ENSG00000010310.8	ENSG00000010310	GIPR	gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:HGNC:4271]
